EG	Gene	Syn	Protein	Function	Description	SP	b#	
EG11376	ftsP	sufI, sui, ygiJ(S.t.)	septal ring component that protects the divisome from stress; multicopy suppressor of ftsI(Ts)	Phenotype; Not classified	Septal ring component that protects the divisome from stress; multicopy suppressor of ftsI(Ts)	P26648	b3017
EG11377	plsC	parF	1-acyl-sn-glycerol-3-phosphate acyltransferase	Enzyme; Macromolecule synthesis, modification: Phospholipids	1-Acyl-n-glycerol-3-phosphate acyltransferase; affects partitioning	P26647	b3018
EG11378	sufA	ydiC	Fe-S cluster assembly protein	Null	Scaffold protein for assembly of iron-sulfur clusters; facilitates delivery to target proteins; Fe-S transfer protein	P77667	b1684
EG11379	cbdB	appB, cyxB	cytochrome bd-II oxidase, subunit II	Putative enzyme; Energy metabolism, carbon: Electron transport	Cytochrome bd-II oxidase subunit 2	P26458	b0979
EG11380	cbdA	appC, cyxA	cytochrome bd-II oxidase, subunit I	Putative enzyme; Energy metabolism, carbon: Electron transport	Cytochrome bd-II oxidase subunit 1	P26459	b0978
EG11381	glgS	scoR	motility and biofilm regulator	Putative enzyme; Macromolecule synthesis, modification: Polysaccharides - (cytoplasmic)	Motility and biofilm regulator	P26649	b3049
EG11383	elbB	elb2, yhbL, yzzB	isoprenoid biosynthesis protein with amidotransferase-like domain	Putative factor; Not classified	Involved in isoprenoid biosynthesis; also known as sigma cross-reacting protein 27A	P0ABU5	b3209
EG11384	ahpC	tpx	alkyl hydroperoxide reductase, C22 subunit	Enzyme; Detoxification	Alkyl hydroperoxide reductase, subunit C; reduced by the AhpF subunit	P0AE08	b0605
EG11385	ahpF	None	alkyl hydroperoxide reductase, F52a subunit, FAD/NAD(P)-binding	Enzyme; Detoxification	Alkyl hydroperoxide reductase, subunit F; NAD(P)H:peroxiredoxin oxidoreductase, reduces AhpC; contains one FAD/monomer	P35340	b0606
EG11387	amyA	yedC	cytoplasmic alpha-amylase	Enzyme; Degradation of polysaccharides	Alpha-amylase, cytoplasmic	P26612	b1927
EG11388	fliS	None	flagellar protein potentiates polymerization	Regulator; Surface structures	Flagellar chaperone, inhibits premature FliC assembly; cytosolic	P26608	b1925
EG11389	fliT	None	putative flagellar synthesis and assembly chaperone	Regulator; Surface structures	Flagellar synthesis, predicted chaperone, role unknown	P0ABY2	b1926
EG11390	uspA	None	universal stress global response regulator	Putative regulator; Adaptations, atypical conditions	Global regulatory gene for stress response; mutants are UV-S	P0AED0	b3495
EG11391	osmY	None	salt-inducible putative ABC transporter periplasmic binding protein	Phenotype; Osmotic adaptation	Putative ABC transporter periplasmic binding protein; osmotically and stationary phase inducible; mutant is slightly salt sensitive	P0AFH8	b4376
EG11392	nhaB	None	sodium:proton antiporter	Transport; Transport of small molecules: Cations	Na+/H+ antiporter 2, weakly pH-dependent; helps regulate intracellular pH and extrude lithium	P0AFA7	b1186
EG11393	dsbB	dsbX, iarB, roxB, ycgA	oxidoreductase that catalyzes reoxidation of DsbA protein disulfide isomerase I	Enzyme; Surface structures	Disulfide oxidoreductase, membrane-spanning protein; oxidizes periplasmic DsbA; DTT-sensitive phenotype	P0A6M2	b1185
EG11394	fabR	yijC	transcriptional repressor of fabA and fabB	Null	Transcriptional repressor of fabA and fabB	P0ACU5	b3963
EG11395	yijD	None	DUF1422 family inner membrane protein	Null	DUF1422 family inner membrane protein, function unknown	P0AF40	b3964
EG11396	ubiD	yigC, yigY	3-octaprenyl-4-hydroxybenzoate decarboxylase	Null	3-octaprenyl-4-hydroxybenzoate carboxylyase; ubiquinone biosynthesis, third step; UbiX isozyme	P0AAB4	b3843
EG11398	hdeA	yhhC, yhiB	stress response protein acid-resistance protein	Null	Periplasmic chaperone of acid-denatured proteins; H-NS repressed	P0AES9	b3510
EG11399	hdeB	yhhD, yhiC	acid-resistance protein	Null	Periplasmic chaperone of acid-denatured proteins; H-NS repressed	P0AET2	b3509
EG11400	yhiD	yhhE	putative Mg(2+) transport ATPase, inner membrane protein	Putative transport; Not classified	Predicted Mg(2+) transport ATPase, MgtC family, function unknown; inner membrane protein	P0AFV2	b3508
EG11401	psiF	None	PsiF family protein	Phenotype; Central intermediary metabolism: Phosphorus compounds	Predicted exported protein, phosphate starvation inducible, function unknown	P0AFM4	b0384
EG11402	treC	olgH, treE	trehalose-6-P hydrolase	Enzyme; Degradation of small molecules: Carbon compounds	Trehalose-6-phosphate hydrolase, osmoprotectant	P28904	b4239
EG11403	ppx	None	exopolyphosphatase	Enzyme; Central intermediary metabolism: Phosphorus compounds	Exopolyphosphatase; inhibited by pppGpp and ppGpp, also has guanosine pentaphosphatase activity	P0AFL6	b2502
EG11404	ychF	engD, gtp1	catalase inhibitor protein; ATPase, K+-dependent, ribosome-associated	Enzyme; Not classified	Catalase inhibitor protein; ATPase, K+-dependent, ribosome-associated; monomeric	P0ABU2	b1203
EG11405	cydD	htrD	glutathione/cysteine ABC transporter export permease/ATPase	Transport; Not classified	Glutathione/cysteine ABC transporter permease/ATPase; exports cysteine to periplasm as required for cytochrome assembly	P29018	b0887
EG11406	ribC	ribE	riboflavin synthase, alpha subunit	Enzyme; Biosynthesis of cofactors, carriers: Riboflavin	Riboflavin synthase; homotrimer; associated with RibE 60-mer	P0AFU8	b1662
EG11407	dadA	dadR	D-amino acid dehydrogenase	Enzyme; Degradation of small molecules: Amino acids	D-amino acid dehydrogenase	P0A6J5	b1189
EG11408	dadX	alnB, dadB(S.t.), msuA?	alanine racemase, catabolic, PLP-binding	Enzyme; Degradation of small molecules: Amino acids	Alanine racemase, catabolic, PLP-binding, homodimeric	P29012	b1190
EG11409	lpxK	ycaH	lipid A 4'kinase	Putative enzyme; Not classified	Lipid A 4' kinase	P27300	b0915
EG11410	yjgA	None	ribosome-associated UPF0307 family protein	Phenotype; Not classified	Ribosome-associated UPF0307 family protein, function unknown	P0A8X0	b4234
EG11411	glnD	None	uridylyltransferase	Enzyme; Amino acid biosynthesis: Glutamine	Bifunctional uridylyltransferase/uridylyl-removing enzyme; (UTase/UR); controls uridylylation state and activity of PII(GlnB)	P27249	b0167
EG11412	holA	None	DNA polymerase III, delta subunit	Enzyme; DNA - replication, repair, restriction/modification	DNA polymerase III, delta subunit; part of the DnaX clamp loader complex; acts as a wrench to open the sliding clamp	P28630	b0640
EG11413	holC	None	DNA polymerase III, chi subunit	Enzyme; DNA - replication, repair, restriction/modification	DNA polymerase III, chi subunit	P28905	b4259
EG11414	holD	None	DNA polymerase III, psi subunit	Enzyme; DNA - replication, repair, restriction/modification	DNA polymerase, psi subunit, clamp loader complex subunit	P28632	b4372
EG11415	dps	pexB, vtm	Fe-binding and storage protein; stress-inducible DNA-binding protein	Regulator; Global regulatory functions	Stress-induced Fe-binding and storage protein; forms biocrystals with DNA; copper homeostatsis	P0ABT2	b0812
EG11417	nrdD	None	anaerobic ribonucleoside-triphosphate reductase	Enzyme; 2'-Deoxyribonucleotide metabolism	Ribonucleoside-triphosphate reductase; class III anaerobic ribonucleotide reductase	P28903	b4238
EG11418	dcd	dus, paxA	deoxycytidine triphosphate deaminase; dCTP deaminase	Enzyme; 2'-Deoxyribonucleotide metabolism	dCTP deaminase; deoxycytidine triphosphate deaminase; mutants suppress lethal dut mutants	P28248	b2065
EG11419	bcr	bicA, bicR, sur, suxA	bicyclomycin/cysteine/sulfonamide efflux transporter	Transport; Drug/analog sensitivity	Efflux transporter for bicyclomycin, cysteine and sulfonamides	P28246	b2182
EG11421	cynR	None	transcriptional activator of cyn operon; autorepressor	Regulator; Central intermediary metabolism: Pool, multipurpose conversions	Transcriptional activator for the cyn operon; autorepressor	P27111	b0338
EG11422	inaA	yfaG	acid-inducible Kdo/WaaP family putative kinase	Phenotype; Adaptations, atypical conditions	Acid-inducible Kdo/WaaP family predicted kinase	P27294	b2237
EG11423	waaU	rfaK, waaK(S.t.)	lipopolysaccharide core biosynthesis	Enzyme; Macromolecule metabolism: Lipopolysaccharide	Adds terminal GlcNac side branch to the lipopolysaccharide core prior to attachment of the O antigen; not the same as Salmonella rfaK	P27242	b3623
EG11424	waaL	rfaL	O-antigen ligase	Enzyme; Macromolecule metabolism: Lipopolysaccharide	LPS core biosynthesis; O-antigen ligase	P27243	b3622
EG11425	waaY	rfaY	lipopolysaccharide core biosynthesis protein	Enzyme; Macromolecule metabolism: Lipopolysaccharide	LPS core biosynthesis	P27240	b3625
EG11426	waaZ	rfaZ	lipopolysaccharide KdoIII transferase; lipopolysaccharide core biosynthesis protein	Enzyme; Macromolecule metabolism: Lipopolysaccharide	Lipopolysaccharide KdoIII:KdoII transferase; required for the addition of KdoIII to KdoII in LPS; LPS core biosynthesis	P27241	b3624
EG11427	tktA	tkt	transketolase 1, thiamine triphosphate-binding	Enzyme; Central intermediary metabolism: Non-oxidative branch, pentose pathway	Transketolase A; binds Zn(II)	P27302	b2935
EG11428	sthA	sth, udhA	pyridine nucleotide transhydrogenase, soluble	Putative enzyme; Not classified	Soluble pyridine nucleotide transhydrogenase	P27306	b3962
EG11429	yjaZ	htrC	stationary phase growth adaptation protein	Factor; Adaptations, atypical conditions	Required for competitive stationary phase growth adaptation; function unknown	P27375	b3989
EG11430	roxA	ycfD	50S ribosomal protein L16 arginine hydroxylase; 2-oxoglutarate oxygenase	Enzyme; Proteins - translation and modification	50S ribosomal protein L16 Arg81 hydroxylase; ROX; 2-oxoglutarate oxygenase	P27431	b1128
EG11431	yfeC	None	DUF1323 family putative DNA-binding protein 	Null	Predicted DNA-binding protein, DUF1323 family	P0AD37	b2398
EG11432	yfeD	None	DUF1323 family putative DNA-binding protein 	Null	Predicted DNA-binding protein, DUF1323 family	P27238	b2399
EG11433	msrA	pms, pmsR	methionine sulfoxide reductase A	Enzyme; Proteins - translation and modification	Methionine sulfoxide reductase A; specific for S diastereoisomers	P0A744	b4219
EG11434	marA	cfxB, inaR, nfxC, norB, soxQ	multiple antibiotic resistance transcriptional regulator	Regulator; Drug/analog sensitivity	Transcriptional activator for multiple antibiotic resistance; AraC family; resistance to tetracycline, chloramphenicol	P0ACH5	b1531
EG11435	marR	cfxB, inaR, soxQ	transcriptional repressor of multiple antibiotic resistance	Regulator; Drug/analog sensitivity	Transcription repressor of multiple antibiotic resistance; copper-sensitive protein; resistance to tetracycline and chloramphenicol; dimeric	P27245	b1530
EG11436	ahr	yjgB	broad specificity NADPH-dependent aldehyde reductase, Zn-containing	Enzyme; Degradation of small molecules: Carbon compounds	Aldehyde reductase, NADPH-dependent, Zn-containing; AdhZ3; broad specificity	P27250	b4269
EG11437	plsX	None	putative phosphate acyltransferase	Phenotype; Macromolecule synthesis, modification: Phospholipids	Probable phosphate acyltransferase	P27247	b1090
EG11438	yceF	None	m(7)GTP pyrophosphatase	Null	m(7)GTP pyrophosphatase; Maf-like protein	P0A729	b1087
EG11439	emrB	None	multidrug efflux system protein	Putative transport; Drug/analog sensitivity	EmrAB-TolC multidrug resistance pump; energy-dependent efflux of octane, thiolactomycin, and uncouplers DNP, CCCP, and FCCP; inner membrane-spanning translocase	P0AEJ0	b2686
EG11440	def	fms	peptide deformylase	Enzyme; Proteins - translation and modification	Peptide deformylase; N-formylmethionylaminoacyl-tRNA deformylase; PDF	P0A6K3	b3287
EG11441	prlC	opdA(S.t.)	oligopeptidase A	Enzyme; Degradation of proteins, peptides, glyco	Oligopeptidase A, zinc metalloprotease; involved in the degradation of cleaved signal peptides; suppressor allele of LamB signal sequence mutations; heat shock regulon; proteinase In, multifunctional protease	P27298	b3498
EG11442	gcvT	None	aminomethyltransferase, tetrahydrofolate-dependent, subunit (T protein) of glycine cleavage complex	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	Aminomethyltransferase, tetrahydrofolate dependent; T-protein of the glycine cleavage system	P27248	b2905
EG11443	rpiA	ygfC	ribose 5-phosphate isomerase, constitutive	Enzyme; Central intermediary metabolism: Non-oxidative branch, pentose pathway	Ribose-5-phosphate isomerase A, alkali-inducible	P0A7Z0	b2914
EG11444	scpA	mcm, sbm, yliK	methylmalonyl-CoA mutase	Enzyme; Degradation of small molecules: Fatty acids	Methylmalonyl-CoA mutase, B12-dependent	P27253	b2917
EG11445	argK	meaB, scpK?, ygfD	membrane ATPase/protein kinase	Phenotype; Not classified	Required to convert succinate to propionate, Arg transport?; reported to have ATPase and protein kinase activity	P27254	b2918
EG11447	csrA	zfiA	pleiotropic regulatory protein for carbon source metabolism	Regulator; Global regulatory functions	Global regulator of carbon source metabolism; RNA binding protein	P69913	b2696
EG11448	acs	acsA, yfaC	acetyl-CoA synthetase	Enzyme; Fatty acid and phosphatidic acid biosynthesis	Acetyl CoA synthase, acetate-scavenging enzyme, improves carbon starvation survival	P27550	b4069
EG11449	hdfR	apeR?, yifA, yifD	flhDC operon transcriptional repressor	Regulator; Not classified	Transcriptional regulator of the flhDC operon, hns-dependent; not allelic to pssR	P0A8R9	b4480
EG11450	yifE	None	UPF0438 family protein	Null	UPF0438 family protein, function unknown; expressed protein	P0ADN2	b3764
EG11451	wecB	nfrC, rffE, yifF	UDP-N-acetyl glucosamine-2-epimerase	Enzyme; Central intermediary metabolism: Sugar-nucleotide biosynthesis, conversions	UDP-GlcNAc-2-epimerase; needed for ECA (enterobacterial common antigen) synthesis	P27828	b3786
EG11452	wecC	rff, rffD	UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase	Enzyme; Central intermediary metabolism: Sugar-nucleotide biosynthesis, conversions	UDP-ManNAcA dehydrogenase; needed for ECA (enterobacterial common antigen) synthesis	P27829	b3787
EG11453	rffG	rff	dTDP-glucose 4,6-dehydratase	Enzyme; Central intermediary metabolism: Sugar-nucleotide biosynthesis, conversions	dTDP-glucose dehydratase; needed for ECA (enterobacterial common antigen) synthesis	P27830	b3788
EG11454	rffH	yifG	glucose-1-phosphate thymidylyltransferase	Enzyme; Central intermediary metabolism: Sugar-nucleotide biosynthesis, conversions	Glucose-1-phosphate thymidylyltransferase; needed for ECA (enterobacterial common antigen) synthesis	P61887	b3789
EG11455	wecD	rff, rffC, yifH	TDP-fucosamine acetyltransferase	Null	TDP-fucosamine acetyltransferase; needed for ECA (enterobacterial common antigen) synthesis; chain elongation	P27832	b3790
EG11456	wecE	rff, rffA, yifI	TDP-4-oxo-6-deoxy-D-glucose transaminase	Null	Lipid III biosynthesis; needed for ECA synthesis	P27833	b3791
EG11457	wzyE	rffT	putative ECA polysaccharide chain elongation protein	Enzyme; Central intermediary metabolism: Sugar-nucleotide biosynthesis, conversions	Wzy protein involved in ECA polysaccharide chain elongation; involved in polymerization of the UDP-linked ECA trisaccharide repeat unit of cyclic enterobacterial common antigen ECA(CYC)	P27835	b3793
EG11458	wecG	rff, rffM	UDP-N-acetyl-D-mannosaminuronic acid transferase	Enzyme; Central intermediary metabolism: Sugar-nucleotide biosynthesis, conversions	UDP-ManNAcA transferase; needed for ECA (enterobacterial common antigen) synthesis	P27836	b3794
EG11459	yifK	None	putative APC family amino acid transporter	Putative transport; Not classified	Predicted APC family amino acid transporter	P27837	b3795
EG11460	narQ	None	sensory histidine kinase in two-component regulatory system with NarP	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Nitrate/nitrite sensor-transmitter protein; anaerobic respiratory path; cognate regulator is NarP; function redundant with narX	P27896	b2469
EG11462	yigE	None	DUF2233 family protein	Null	DUF2233 family protein, function unknown	P27840	b4482
EG11463	corA	None	magnesium/nickel/cobalt transporter	Transport; Transport of small molecules: Cations	Mg2+ (and other divalent metals) uptake transporter; constitutive; at high Mg(2+), also mediates efflux; mutants are resistant to Co2+, Mn2+, and Ni2+, insensitive to Ca2+	P0ABI4	b3816
EG11464	yigF	None	DUF2628 family putative inner membrane protein	Null	DUF2628 family putative inner membrane protein; function unknown	P27842	b3817
EG11465	yigG	None	PRK11371 family inner membrane protein	Null	Required for swarming phenotype, function unknown; inner membrane protein	P27843	b3818
EG11466	rarD	yigH	putative chloramphenical resistance permease	Null	Chloramphenicol resistance	P27844	b3819
EG11467	yigI	None	4HBT thioesterase family protein	Null	4HBT family thioesterase, function unknown	P0ADP2	b3820
EG11468	rhtC	yigJ	threonine efflux pump	Null	Threonine efflux pump; overproduction confers resistance to elevated levels of exogenous L-threonine	P0AG38	b3823
EG11469	rhtB	yigK	homoserine, homoserine lactone and S-methyl-methionine efflux pump	Null	Homoserine, homoserine lactone and S-methyl-methionine efflux pump; overproduction confers resistance to elevated levels of exogenous L-threonine and L-homoserine	P0AG34	b3824
